epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
113,1492.96,1.63044,1.77849,1.23167,0.00387,0.58625,0.62732,0.56901,0.55584,0.31215,0.52882,0.48932,0.44008,0.20476,1.87544,1.93427,1.32945,0.00485,0,0.000198333,0.000198333,0.000198333
114,1510.41,1.67994,1.74821,1.2439,0.00376,0.62199,0.66283,0.54549,0.56648,0.32156,0.46995,0.50809,0.43639,0.20055,1.84667,1.9134,1.31813,0.00471,0,0.00018917,0.00018917,0.00018917
115,1521,1.613,1.67591,1.2261,0.00386,0.58527,0.63871,0.53738,0.54881,0.31445,0.46728,0.45995,0.43496,0.21062,1.85099,1.90277,1.30699,0.00471,0,0.000180201,0.000180201,0.000180201
116,1535.56,1.65183,1.83192,1.24793,0.00363,0.65335,0.74236,0.53193,0.57709,0.32219,0.48389,0.49301,0.45065,0.21,1.8688,1.90284,1.30522,0.00471,0,0.000171429,0.000171429,0.000171429
117,1554.88,1.73257,1.81069,1.26468,0.00398,0.62848,0.71806,0.54854,0.57751,0.32334,0.52892,0.51978,0.46223,0.21603,1.86058,1.9354,1.30964,0.00476,0,0.000162859,0.000162859,0.000162859
118,1573.42,1.70409,1.80695,1.23336,0.00371,0.5705,0.73208,0.5387,0.58408,0.32888,0.48633,0.48492,0.4571,0.21387,1.84145,1.93162,1.28245,0.00475,0,0.000154495,0.000154495,0.000154495
119,1592.54,1.67357,1.84245,1.19464,0.00368,0.5412,0.67165,0.54985,0.58011,0.32587,0.5838,0.48815,0.48129,0.22341,1.84158,1.93467,1.29892,0.0047,0,0.00014634,0.00014634,0.00014634
120,1610.03,1.64306,1.71014,1.27385,0.00384,0.62007,0.67965,0.55277,0.57647,0.32251,0.60772,0.47166,0.47308,0.22306,1.84554,1.93948,1.31792,0.00463,0,0.000138397,0.000138397,0.000138397
121,1627.37,1.70784,1.84323,1.26994,0.00361,0.63069,0.62554,0.54854,0.56345,0.32107,0.55622,0.47367,0.46621,0.21977,1.83116,1.90269,1.30508,0.00462,0,0.000130671,0.000130671,0.000130671
122,1645.22,1.74387,1.88955,1.29056,0.00391,0.60354,0.6599,0.55193,0.56647,0.32725,0.57321,0.45664,0.44947,0.21022,1.82096,1.89124,1.31439,0.00465,0,0.000123164,0.000123164,0.000123164
123,1662.77,1.69472,1.76095,1.18542,0.00369,0.58387,0.66278,0.54683,0.56877,0.32274,0.57207,0.445,0.44428,0.20239,1.83816,1.8866,1.30624,0.00468,0,0.00011588,0.00011588,0.00011588
124,1681.19,1.6565,1.7285,1.20725,0.00369,0.55382,0.67165,0.54852,0.57514,0.32524,0.5515,0.45579,0.4461,0.20752,1.84373,1.91953,1.29256,0.00475,0,0.000108822,0.000108822,0.000108822
125,1698,1.64366,1.71714,1.23339,0.00382,0.53242,0.69404,0.54283,0.57405,0.3228,0.56341,0.45184,0.44542,0.20605,1.83998,1.90899,1.29822,0.00478,0,0.000101993,0.000101993,0.000101993
126,1716.11,1.72766,1.75408,1.22866,0.00374,0.59759,0.62736,0.55822,0.56274,0.32159,0.53963,0.47029,0.44117,0.19137,1.84588,1.89504,1.31095,0.00471,0,9.53968e-05,9.53968e-05,9.53968e-05
127,1734.44,1.65547,1.7408,1.22726,0.00373,0.61081,0.64438,0.53636,0.56453,0.31397,0.55735,0.46034,0.44856,0.20246,1.85596,1.90727,1.31366,0.0047,0,8.90352e-05,8.90352e-05,8.90352e-05
128,1745.5,1.70456,1.79958,1.28123,0.00391,0.6021,0.66008,0.54149,0.56369,0.31307,0.577,0.46174,0.44684,0.20505,1.84516,1.9096,1.32521,0.00468,0,8.29115e-05,8.29115e-05,8.29115e-05
129,1759.79,1.68407,1.80421,1.19341,0.00347,0.53516,0.66044,0.55676,0.57311,0.31748,0.56519,0.48169,0.45826,0.21191,1.83585,1.90784,1.31367,0.00464,0,7.70283e-05,7.70283e-05,7.70283e-05
130,1777.42,1.70028,1.8301,1.25234,0.00387,0.61129,0.65583,0.56672,0.58086,0.31766,0.57166,0.48334,0.4591,0.21407,1.82917,1.91529,1.30993,0.00461,0,7.13883e-05,7.13883e-05,7.13883e-05
131,1795.13,1.67724,1.7808,1.20524,0.00376,0.55732,0.6462,0.54798,0.56014,0.31384,0.58001,0.4817,0.45529,0.21203,1.8278,1.91166,1.30273,0.00465,0,6.59937e-05,6.59937e-05,6.59937e-05
132,1813.78,1.71523,1.8595,1.27009,0.00414,0.58374,0.63933,0.54004,0.55813,0.31249,0.58606,0.47621,0.46193,0.20663,1.8148,1.91793,1.31337,0.00464,0,6.08472e-05,6.08472e-05,6.08472e-05
133,1831.87,1.70129,1.72501,1.24213,0.0039,0.58626,0.66777,0.55132,0.58083,0.31776,0.59188,0.46997,0.45321,0.20248,1.81931,1.92335,1.3006,0.00463,0,5.59508e-05,5.59508e-05,5.59508e-05
134,1843.86,1.65122,1.69755,1.22154,0.0038,0.57205,0.67411,0.54441,0.57725,0.32243,0.57824,0.45831,0.44296,0.20369,1.80503,1.91713,1.3176,0.00459,0,5.13068e-05,5.13068e-05,5.13068e-05
135,1857.67,1.67017,1.74978,1.21686,0.00373,0.62021,0.66979,0.54496,0.57818,0.32442,0.56026,0.48954,0.4618,0.20571,1.80071,1.91107,1.32205,0.00457,0,4.69171e-05,4.69171e-05,4.69171e-05
136,1875.32,1.67953,1.69692,1.18952,0.00354,0.57891,0.65997,0.52565,0.55671,0.31826,0.54043,0.47654,0.44978,0.20462,1.82152,1.88417,1.30037,0.00462,0,4.27838e-05,4.27838e-05,4.27838e-05
137,1893.18,1.6147,1.75516,1.19216,0.00368,0.54801,0.65511,0.53267,0.55675,0.31683,0.57276,0.45722,0.45064,0.20305,1.82217,1.88343,1.30793,0.00464,0,3.89086e-05,3.89086e-05,3.89086e-05
138,1910.45,1.77816,1.93521,1.36116,0.00392,0.62934,0.64327,0.53097,0.55708,0.31869,0.56,0.45211,0.4326,0.19377,1.82485,1.88486,1.30866,0.00462,0,3.52932e-05,3.52932e-05,3.52932e-05
139,1928.07,1.67978,1.7406,1.19827,0.0038,0.54197,0.65684,0.5287,0.56328,0.31725,0.58907,0.45976,0.44944,0.19567,1.82702,1.87508,1.30926,0.00462,0,3.19392e-05,3.19392e-05,3.19392e-05
140,1942.71,1.69188,1.67627,1.22293,0.00357,0.55598,0.67394,0.53153,0.56163,0.31288,0.6053,0.46486,0.45698,0.20535,1.82464,1.88007,1.30524,0.00464,0,2.88481e-05,2.88481e-05,2.88481e-05
141,1980.09,1.63141,1.60969,1.20043,0.00406,0.38765,0.64118,0.55513,0.57104,0.30797,0.54516,0.49719,0.4458,0.20318,1.85722,1.95697,1.34162,0.00477,0,2.60212e-05,2.60212e-05,2.60212e-05
142,1989.99,1.63581,1.56339,1.13771,0.00394,0.39904,0.59684,0.54643,0.56699,0.30023,0.56807,0.43559,0.43401,0.19391,1.89258,2.04194,1.36854,0.00495,0,2.34598e-05,2.34598e-05,2.34598e-05
143,2000.4,1.59511,1.49015,1.12554,0.00385,0.35787,0.66752,0.51194,0.56205,0.30068,0.58174,0.43479,0.42969,0.19455,1.89749,2.08595,1.38892,0.00501,0,2.1165e-05,2.1165e-05,2.1165e-05
144,2010.68,1.58697,1.54168,1.12041,0.00376,0.36031,0.66858,0.51278,0.56131,0.29703,0.56054,0.42305,0.40921,0.18457,1.91681,2.1076,1.37477,0.00506,0,1.91377e-05,1.91377e-05,1.91377e-05
145,2020.73,1.5996,1.40373,1.11895,0.00389,0.3156,0.59305,0.52972,0.55838,0.29689,0.5319,0.42344,0.40922,0.18436,1.91507,2.11813,1.3807,0.00505,0,1.7379e-05,1.7379e-05,1.7379e-05
146,2030.7,1.56635,1.61519,1.10828,0.00389,0.31877,0.5892,0.53361,0.56221,0.29621,0.48302,0.42545,0.39327,0.17543,1.92342,2.11449,1.3587,0.00504,0,1.58896e-05,1.58896e-05,1.58896e-05
147,2040.59,1.52827,1.52378,1.09654,0.00384,0.3538,0.60027,0.5358,0.56389,0.29865,0.4955,0.4314,0.39602,0.17566,1.92132,2.10698,1.35695,0.00501,0,1.467e-05,1.467e-05,1.467e-05
148,2050.56,1.62301,1.59232,1.09049,0.00379,0.37465,0.59563,0.54775,0.56149,0.29859,0.49224,0.4419,0.39306,0.17439,1.91487,2.10567,1.35571,0.00501,0,1.3721e-05,1.3721e-05,1.3721e-05
149,2060.41,1.58278,1.64061,1.07627,0.0038,0.33593,0.58495,0.54252,0.56003,0.30046,0.48624,0.4419,0.39377,0.17619,1.90358,2.1022,1.36186,0.00496,0,1.30427e-05,1.30427e-05,1.30427e-05
