epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,315.05,2.08788,2.32237,2.01547,0.00539,1.12023,0.61873,0.28365,0.31676,0.14735,0.26028,0.30592,0.25416,0.10176,2.26039,2.58901,1.97984,0.00645,0,0.00115368,0.00115368,0.00115368
29,325.584,2.01097,2.31091,2.01128,0.0054,1.08746,0.67277,0.33506,0.34597,0.16576,0.64655,0.29155,0.3034,0.15436,2.16119,2.55122,1.77424,0.00605,0,0.00114662,0.00114662,0.00114662
30,335.634,2.04966,2.32894,1.96576,0.00529,1.15103,0.41012,0.36663,0.33735,0.16181,0.44902,0.37512,0.33449,0.15026,2.16575,2.39682,1.78582,0.0063,0,0.00113934,0.00113934,0.00113934
31,345.672,2.08619,2.42225,1.97866,0.00573,1.20663,0.38537,0.41247,0.35768,0.17319,0.36537,0.4187,0.36248,0.16218,2.12896,2.36939,1.78327,0.00569,0,0.00113183,0.00113183,0.00113183
32,356.072,2.05033,2.26272,1.88295,0.00503,1.08203,0.43391,0.40561,0.37936,0.19221,0.41783,0.40005,0.33496,0.14211,2.02806,2.39632,1.74021,0.0056,0,0.0011241,0.0011241,0.0011241
33,366.028,2.17813,2.39286,2.02191,0.00553,1.16715,0.44987,0.38759,0.36086,0.16886,0.46602,0.32916,0.31088,0.14494,2.17933,2.47897,1.74726,0.00592,0,0.00111616,0.00111616,0.00111616
34,376.297,1.99697,2.12121,1.89885,0.00519,1.13821,0.70624,0.25328,0.34663,0.17415,0.3307,0.35689,0.32676,0.13756,2.08327,2.40139,1.78164,0.00573,0,0.00110801,0.00110801,0.00110801
35,386.769,2.11683,2.34633,1.94878,0.00512,1.09122,0.48424,0.37284,0.36308,0.17982,0.43489,0.37503,0.36058,0.16738,2.00246,2.26322,1.73797,0.00567,0,0.00109964,0.00109964,0.00109964
36,397.083,2.02805,2.2193,1.85398,0.00514,1.07085,0.36776,0.33333,0.3663,0.18923,0.35529,0.36425,0.33164,0.15378,2.05478,2.39586,1.662,0.00561,0,0.00109107,0.00109107,0.00109107
37,407.042,2.06128,2.30539,1.89272,0.0049,1.12862,0.41772,0.37824,0.39275,0.20635,0.42154,0.34634,0.36143,0.15628,2.05342,2.32081,1.66109,0.00575,0,0.0010823,0.0010823,0.0010823
38,417.614,2.01415,2.28476,1.81853,0.0051,1.10912,0.47086,0.38409,0.39269,0.19621,0.41985,0.37781,0.35879,0.15859,2.10203,2.52292,1.63123,0.00611,0,0.00107333,0.00107333,0.00107333
39,427.639,1.98265,2.2241,1.73816,0.00466,1.06074,0.48784,0.35271,0.38162,0.18267,0.50826,0.35684,0.39911,0.18341,2.17245,2.44884,1.71374,0.00614,0,0.00106417,0.00106417,0.00106417
40,438.084,1.99416,2.14123,1.81277,0.005,1.04994,0.37852,0.3926,0.38752,0.20549,0.41189,0.38407,0.36343,0.16042,1.99165,2.48199,1.6598,0.00548,0,0.00105481,0.00105481,0.00105481
41,448.279,2.00785,2.22022,1.81498,0.005,1.08469,0.47926,0.42076,0.43899,0.21696,0.43504,0.34108,0.35215,0.15886,2.01927,2.36815,1.67963,0.00556,0,0.00104527,0.00104527,0.00104527
42,458.65,2.06545,2.40904,1.82231,0.00481,1.06159,0.41439,0.48506,0.44734,0.22076,0.45338,0.29648,0.33875,0.1397,2.00671,2.2768,1.67849,0.00541,0,0.00103555,0.00103555,0.00103555
43,468.773,1.90941,2.23911,1.71519,0.005,0.98753,0.37811,0.43601,0.41028,0.20907,0.33991,0.3723,0.35164,0.16788,2.04539,2.28243,1.68332,0.00588,0,0.00102566,0.00102566,0.00102566
44,479.038,2.00752,2.15138,1.69965,0.00503,0.98587,0.43903,0.37945,0.38394,0.19612,0.36849,0.33499,0.31916,0.12769,2.07496,2.36895,1.72695,0.00564,0,0.00101559,0.00101559,0.00101559
45,489.302,2.02973,2.20157,1.72445,0.00492,1.05146,0.44512,0.45156,0.4314,0.20972,0.41617,0.35768,0.33286,0.1382,2.038,2.34977,1.64029,0.00561,0,0.00100535,0.00100535,0.00100535
46,504.49,2.05026,2.36425,1.84773,0.00545,1.11628,0.47449,0.48191,0.4399,0.22003,0.38585,0.3812,0.33629,0.14166,2.00087,2.48947,1.609,0.00545,0,0.000994942,0.000994942,0.000994942
47,515.921,1.89213,2.09549,1.6637,0.00473,0.96931,0.52433,0.43559,0.43612,0.23688,0.42444,0.36508,0.33608,0.15311,2.00126,2.42431,1.56673,0.00541,0,0.000984379,0.000984379,0.000984379
48,526.281,1.97221,2.24011,1.72222,0.00464,1.02354,0.46209,0.40723,0.435,0.2296,0.38198,0.34158,0.35116,0.14607,2.00036,2.34574,1.57275,0.00542,0,0.000973661,0.000973661,0.000973661
49,536.202,1.98069,2.17931,1.69898,0.00468,1.02372,0.45394,0.46279,0.4449,0.23547,0.37493,0.36757,0.33004,0.13898,1.99988,2.26141,1.57751,0.00547,0,0.000962793,0.000962793,0.000962793
