epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,86.1438,2.33583,3.17458,5.05389,0.00587,4.67597,0.77538,0.02428,0.05447,0.02178,0.00405,0.14609,0.01609,0.00423,2.57892,15.1916,3.86624,0.00943,0,0.000649573,0.000649573,0.0681709
2,242.747,2.10867,2.52022,2.74549,0.00539,2.99064,0.10709,0.15777,0.07316,0.02275,0.11804,0.17736,0.08434,0.02801,2.5111,4.0969,3.59179,0.00844,0,0.0013161,0.0013161,0.0355041
3,361.034,2.17224,2.54856,2.56632,0.00555,1.84543,0.40418,0.18407,0.15586,0.06451,0.38672,0.17518,0.12622,0.05164,2.26793,3.20239,5.99987,0.00826,0,0.00198205,0.00198205,0.00283675
4,490.835,2.18121,2.62789,2.45452,0.00556,1.49127,0.2479,0.20209,0.21933,0.09873,0.25891,0.2079,0.22662,0.11854,2.36971,2.82214,2.41804,0.00815,0,0.00199805,0.00199805,0.00199805
5,631.553,2.20388,2.35676,2.26765,0.00554,1.41705,0.61622,0.19478,0.21483,0.07106,0.55209,0.17757,0.18461,0.07213,2.48555,3.00893,3.83685,0.00868,0,0.00199653,0.00199653,0.00199653
6,755.975,2.18718,2.29434,2.1875,0.00531,1.39206,0.5258,0.25946,0.28873,0.13492,0.46047,0.27111,0.28707,0.12849,2.26721,2.60764,2.59093,0.00827,0,0.00199458,0.00199458,0.00199458
7,924.931,2.15396,2.36123,2.10338,0.00528,1.36032,0.59731,0.30999,0.32961,0.13281,0.6213,0.30671,0.30474,0.129,2.29403,2.50586,2.3455,0.00827,0,0.00199219,0.00199219,0.00199219
8,1046.25,2.05662,2.25315,2.08018,0.00498,1.33797,0.44323,0.36781,0.34461,0.15113,0.41916,0.34993,0.33407,0.14457,2.22553,2.69575,2.30854,0.00748,0,0.00198938,0.00198938,0.00198938
